Partner ID,PQP Feb 25
68004,Sin PQP
89460,Franco Lagos Tier
87778,Franco Lagos KA
330064,Franco Lagos Tier
118130,Sin PQP
390340,Sin PQP
108751,Sin PQP
226029,Javier Peñaloza KA
294738,Sin PQP
496684,Franco Lagos KA
101351,Javier Peñaloza KA
299414,Sin PQP
64589,Macka Ramirez
175784,Sin PQP
143324,Macka Ramirez
150388,Franco Lagos KA
196111,Franco Lagos KA
416611,Franco Lagos KA
434394,Sin PQP
105866,Franco Lagos KA
200188,Franco Lagos Tier
237060,Franco Lagos Tier
128585,Franco Lagos KA
334534,Javier Peñaloza KA
139557,Franco Lagos KA
109695,Sin PQP
136547,Sin PQP
376288,Javier Peñaloza KA
199975,Franco Lagos Tier
499773,Franco Lagos KA
146907,Franco Lagos KA
229921,Sin PQP
62751,Sin PQP
494187,Macka Ramirez
67018,Javier Peñaloza KA
102916,Franco Lagos Tier
408258,Sin PQP
267282,Sin PQP
253656,Sin PQP
487306,Sin PQP
28921,Sin PQP
277456,Sin PQP
408001,Sin PQP
411940,Javier Peñaloza KA
133505,Javier Peñaloza KA
480293,Franco Lagos KA
233776,Franco Lagos Tier
144860,Javier Peñaloza KA
371716,Javier Peñaloza KA
301005,Franco Lagos KA
399244,Franco Lagos Tier
325382,Sin PQP
472575,Sin PQP
526862,Franco Lagos KA
156140,Sin PQP
111692,Javier Peñaloza KA
519467,Javier Peñaloza KA
68595,Franco Lagos KA
444437,Franco Lagos KA
133610,Javier Peñaloza KA
109384,Javier Peñaloza Tier
61361,Sin PQP
62975,Javier Peñaloza KA
473783,Javier Peñaloza KA
425017,Macka Ramirez
397572,Franco Lagos KA
525222,Javier Peñaloza KA
134833,Sin PQP
226095,Sin PQP
327711,Sin PQP
178236,Franco Lagos KA
423614,Sin PQP
444126,Sin PQP
456487,Franco Lagos KA
149316,Javier Peñaloza KA
499126,Franco Lagos KA
138819,Sin PQP
297246,Franco Lagos KA
169924,Franco Lagos Tier
159481,Sin PQP
133615,Javier Peñaloza KA
66569,Franco Lagos KA
468774,Javier Peñaloza KA
256159,Sin PQP
160390,Macka Ramirez
522486,Franco Lagos KA
141494,Javier Peñaloza KA
395906,Franco Lagos Tier
528924,Javier Peñaloza KA
299347,Sin PQP
192874,Macka Ramirez
477308,Franco Lagos KA
175363,Javier Peñaloza KA
147918,Sin PQP
202375,Franco Lagos Tier
141482,Javier Peñaloza KA
133325,Sin PQP
201698,Franco Lagos KA
222013,Sin PQP
483549,Franco Lagos KA
510232,Franco Lagos KA
66842,Sin PQP
153980,Sin PQP
495689,Javier Peñaloza KA
253688,Javier Peñaloza KA
489643,Franco Lagos Tier
59058,Sin PQP
390206,Franco Lagos Tier
384749,Sin PQP
489711,Franco Lagos Tier
141495,Javier Peñaloza KA
119086,Javier Peñaloza Tier
490775,Franco Lagos Tier
150787,Javier Peñaloza KA
68238,Javier Peñaloza KA
141651,Javier Peñaloza KA
6130,Macka Ramirez
384252,Sin PQP
133626,Javier Peñaloza KA
141891,Sin PQP
242503,Sin PQP
432141,Javier Peñaloza KA
116980,Franco Lagos Tier
165824,Franco Lagos KA
393205,Javier Peñaloza KA
299513,Sin PQP
364545,Franco Lagos KA
368213,Franco Lagos Tier
133607,Javier Peñaloza KA
483349,Macka Ramirez
205402,Javier Peñaloza KA
136215,Javier Peñaloza KA
182100,Sin PQP
137062,Sin PQP
128967,Javier Peñaloza KA
120974,Franco Lagos Tier
61313,Sin PQP
442964,Macka Ramirez
62059,Sin PQP
133746,Javier Peñaloza KA
130120,Franco Lagos KA
386886,Javier Peñaloza KA
107817,Franco Lagos Tier
133860,Javier Peñaloza KA
102932,Franco Lagos Tier
426437,Macka Ramirez
377227,Franco Lagos KA
198511,Sin PQP
224246,Sin PQP
181976,Sin PQP
223955,Javier Peñaloza KA
124171,Sin PQP
315232,Franco Lagos KA
101545,Sin PQP
89959,Sin PQP
494348,Macka Ramirez
149662,Franco Lagos Tier
106799,Sin PQP
137884,Javier Peñaloza KA
309573,Sin PQP
436298,Macka Ramirez
115028,Sin PQP
126972,Sin PQP
386732,Sin PQP
345182,Sin PQP
347138,Franco Lagos Tier
141981,Franco Lagos KA
421579,Franco Lagos KA
136219,Javier Peñaloza KA
426089,Franco Lagos KA
189409,Franco Lagos KA
296440,Franco Lagos Tier
198022,Macka Ramirez
256646,Macka Ramirez
144159,Sin PQP
204310,Franco Lagos Tier
136218,Javier Peñaloza KA
200873,Franco Lagos KA
259234,Sin PQP
292237,Sin PQP
198311,Franco Lagos Tier
448871,Javier Peñaloza KA
283634,Javier Peñaloza KA
197366,Franco Lagos KA
476825,Javier Peñaloza KA
319596,Franco Lagos KA
165750,Franco Lagos KA
65975,Franco Lagos KA
366607,Macka Ramirez
439219,Javier Peñaloza KA
342363,Sin PQP
127035,Franco Lagos Tier
165594,Franco Lagos KA
449786,Franco Lagos KA
418772,Macka Ramirez
41202,Franco Lagos KA
99451,Sin PQP
90526,Sin PQP
337049,Macka Ramirez
325314,Franco Lagos KA
364558,Javier Peñaloza KA
390328,Sin PQP
435125,Sin PQP
133583,Javier Peñaloza KA
328777,Javier Peñaloza KA
494982,Franco Lagos KA
256556,Franco Lagos KA
105376,Sin PQP
131039,Franco Lagos KA
353814,Javier Peñaloza KA
514597,Javier Peñaloza KA
