Partner_id,Partner_name,Franchise_name,Mall,City_name_partner,Area_name_partner,Pqp_advisor
321058,Tropi Delicias,,Mall Arauco Maipú,Santiago,Maipú,franco lagos lt
434339,Völka Chokolade - Arauco Maipú,Völka Chokolade,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
442424,3ina - Arauco Maipu - Beauty,3INA,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
468289,"Pedro, Juan Y Diego - Arauco Maipu","Pedro, Juan y Diego",Mall Arauco Maipú,Santiago,Maipú,josefina sarquis
476658,Tarragona Arauco Maipú - Courier 565,Tarragona,Mall Arauco Maipú,Santiago,Maipú,null
477750,Telepizza Mall Arauco Maipu - Courier,Telepizza,Mall Arauco Maipú,Santiago,Maipú,null
179064,Lounge - Arauco Maipú,Lounge,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
197313,La Fete - Maipu Courier,La Fete,Mall Arauco Maipú,Santiago,Maipú,null
324181,Moulie Chocolaterie - Arauco Maipu,MOULIE,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
333504,Dunkin Mall Arauco Maipú,Dunkin Donuts,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
361534,Dunkin Mall Arauco Maipú-coffee,Dunkin Donuts,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
428509,Sokobox - Arauco Maipu - Beauty,Sokobox,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
302607,Pet&go - Maipu,Pet&Go,Mall Arauco Maipú,Santiago,Maipú,maria cecilia maturana
441629,Carl's Jr - Mall Arauco Maipú,Carl's Jr.,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
47288,Tommy Beans Arauco Maipú,Tommy Beans,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
47514,Juan Maestro Mall Arauco Maipú,Juan Maestro,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
59181,Bufalo Beef Maipú,Bufalo Beef,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
61012,Dominó - Arauco Maipú,Dominó,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
63523,Burger King® - Mall Arauco Maipú,Burger King,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
101326,China Wok Arauco Maipú,China Wok,Mall Arauco Maipú,Santiago,Maipú,josefina sarquis
109476,Coppelia - Jumbo Maipú,Coppelia,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
111700,Chili's - Arauco Maipú,Chili's,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
153553,Grido Mall Arauco Maipu - 4015,Grido,Mall Arauco Maipú,Santiago,Maipú,nicole bustamante
170450,Starbucks Coffee Mall Arauco Maipú,Starbucks,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
193196,Telepizza Mall Arauco Maipú,Telepizza,Mall Arauco Maipú,Santiago,Maipú,javier peñaloza
376764,Beef Burger Maipú,Beef Burger,Mall Arauco Maipú,Santiago,Maipú,franco lagos tier
62142,Mcdonald's Maipú Mil,McDonald's,Mall Plaza Maipú,Santiago,Maipú,josefina sarquis
131406,Doggis Centro Comercial Maipú,Doggis,Mall Plaza Maipú,Santiago,Maipú,nicole bustamante
131793,Juan Maestro Centro Comercial Maipú,Juan Maestro,Mall Plaza Maipú,Santiago,Maipú,nicole bustamante
146907,KFC Maipú,KFC,Mall Plaza Maipú,Santiago,Maipú,josefina sarquis
179169,Pizza Hut Mall Plaza Maipu,Pizza Hut,Mall Plaza Maipú,Santiago,Maipú,javier peñaloza
395622,Churromania Maipu,,Mall Plaza Maipú,Santiago,Maipú,franco lagos tier
477625,Pizza Hut Mall Plaza Maipu - Courier,Pizza Hut,Mall Plaza Maipú,Santiago,Maipú,null
59719,Tarragona Líder - Plaza Maipú,Tarragona,Espacio Urbano Maipú,Santiago,Maipú,nicole bustamante
60018,"Pedro, Juan Y Diego - Espacio Urbano Maipú","Pedro, Juan y Diego",Espacio Urbano Maipú,Santiago,Maipú,josefina sarquis
68200,Pollo Stop Maipú,Pollo Stop Fast Food,Espacio Urbano Maipú,Santiago,Maipú,josefina sarquis
68536,Wendy's Espacio Urbano Plaza Maipú,Wendy's,Espacio Urbano Maipú,Santiago,Maipú,josefina sarquis
115434,Pizza Hut - Espacio Urbano Maipú,Pizza Hut,Espacio Urbano Maipú,Santiago,Maipú,javier peñaloza
139902,Dunkin' Espacio Urbano Maipú,Dunkin Donuts,Espacio Urbano Maipú,Santiago,Maipú,javier peñaloza
146908,Juan Maestro Espacio Urbano Maipú,Juan Maestro,Espacio Urbano Maipú,Santiago,Maipú,nicole bustamante
147218,Dunkin' Espacio Urbano Maipú - Café,Dunkin Donuts,Espacio Urbano Maipú,Santiago,Maipú,javier peñaloza
214241,Buffalo Waffles - Espacio Urbano Plaza Maipú,Buffalo Waffles,Espacio Urbano Maipú,Santiago,Maipú,nicole bustamante
234612,Bw Maipú - Courier Mercat,Buffalo Waffles,Espacio Urbano Maipú,Santiago,Maipú,null
